ix,iy,x_m,y_m,depth_m,seabed_z_m
5,1,-792.3439851178912,-800.3652642291661,17.19338203816041,-17.19338203816041
6,1,-783.0706485171428,-800.3652642291661,16.957478626708014,-16.957478626708014
7,1,-773.7973119163944,-800.3652642291661,16.6649323075424,-16.6649323075424
8,1,-764.5239753156459,-800.3652642291661,16.365973583730003,-16.365973583730003
9,1,-755.2506387148975,-800.3652642291661,16.067014859917613,-16.067014859917613
10,1,-745.9773021141491,-800.3652642291661,15.759299760996083,-15.759299760996083
11,1,-736.7039655134007,-800.3652642291661,15.450008514554913,-15.450008514554913
12,1,-727.4306289126523,-800.3652642291661,15.14071726811374,-15.14071726811374
13,1,-718.1572923119038,-800.3652642291661,14.859089633729216,-14.859089633729216
14,1,-708.8839557111554,-800.3652642291661,14.584525049231502,-14.584525049231502
15,1,-699.610619110407,-800.3652642291661,14.309960464733784,-14.309960464733784
16,1,-690.3372825096586,-800.3652642291661,14.07068759869345,-14.07068759869345
17,1,-681.0639459089102,-800.3652642291661,13.843446000309042,-13.843446000309042
18,1,-671.7906093081617,-800.3652642291661,13.61620440192463,-13.61620440192463
19,1,-662.5172727074133,-800.3652642291661,13.408588759178834,-13.408588759178834
20,1,-653.2439361066649,-800.3652642291661,13.209589389640232,-13.209589389640232
21,1,-643.9705995059165,-800.3652642291661,13.010590020101631,-13.010590020101631
22,1,-634.6972629051681,-800.3652642291661,12.812158621812863,-12.812158621812863
23,1,-625.4239263044196,-800.3652642291661,12.614041102372678,-12.614041102372678
24,1,-616.1505897036712,-800.3652642291661,12.4159235829325,-12.4159235829325
25,1,-606.8772531029229,-800.3652642291661,12.213313402345545,-12.213313402345545
26,1,-597.6039165021745,-800.3652642291661,12.007622539829372,-12.007622539829372
27,1,-588.3305799014261,-800.3652642291661,11.801931677313203,-11.801931677313203
28,1,-579.0572433006776,-800.3652642291661,11.603219737771841,-11.603219737771841
29,1,-569.7839066999292,-800.3652642291661,11.410396264490476,-11.410396264490476
30,1,-560.5105700991808,-800.3652642291661,11.217572791209115,-11.217572791209115
31,1,-551.2372334984324,-800.3652642291661,11.047848327600146,-11.047848327600146
32,1,-541.963896897684,-800.3652642291661,10.902019391238484,-10.902019391238484
33,1,-532.6905602969355,-800.3652642291661,10.756190454876819,-10.756190454876819
34,1,-523.4172236961872,-800.3652642291661,10.64002656334224,-10.64002656334224
35,1,-514.1438870954387,-800.3652642291661,10.561514459472804,-10.561514459472804
36,1,-504.8705504946903,-800.3652642291661,10.483002355603368,-10.483002355603368
37,1,-495.59721389394184,-800.3652642291661,10.427126746068069,-10.427126746068069
38,1,-486.32387729319345,-800.3652642291661,10.406682171142721,-10.406682171142721
39,1,-477.050540692445,-800.3652642291661,10.386237596217375,-10.386237596217375
40,1,-467.77720409169666,-800.3652642291661,10.375060111329342,-10.375060111329342
41,1,-458.50386749094815,-800.3652642291661,10.381953452014068,-10.381953452014068
42,1,-449.23053089019976,-800.3652642291661,10.388846792698796,-10.388846792698796
43,1,-439.9571942894513,-800.3652642291661,10.394617512985048,-10.394617512985048
44,1,-430.6838576887029,-800.3652642291661,10.397614700522123,-10.397614700522123
45,1,-421.4105210879545,-800.3652642291661,10.4006118880592,-10.4006118880592
46,1,-412.13718448720607,-800.3652642291661,10.398585599904848,-10.398585599904848
47,1,-402.8638478864577,-800.3652642291661,10.380412425599488,-10.380412425599488
48,1,-393.5905112857093,-800.3652642291661,10.362239251294124,-10.362239251294124
49,1,-384.31717468496083,-800.3652642291661,10.339609182474886,-10.339609182474886
50,1,-375.04383808421244,-800.3652642291661,10.297530846686001,-10.297530846686001
51,1,-365.77050148346405,-800.3652642291661,10.255452510897117,-10.255452510897117
52,1,-356.49716488271565,-800.3652642291661,10.210791703748187,-10.210791703748187
53,1,-347.2238282819672,-800.3652642291661,10.149667641678981,-10.149667641678981
54,1,-337.9504916812188,-800.3652642291661,10.088543579609775,-10.088543579609775
55,1,-328.6771550804704,-800.3652642291661,10.026330059010181,-10.026330059010181
56,1,-319.40381847972185,-800.3652642291661,9.952350386282404,-9.952350386282404
57,1,-310.13048187897346,-800.3652642291661,9.878370713554629,-9.878370713554629
58,1,-300.85714527822506,-800.3652642291661,9.804116315127365,-9.804116315127365
59,1,-291.58380867747667,-800.3652642291661,9.72203223426474,-9.72203223426474
60,1,-282.3104720767283,-800.3652642291661,9.639948153402113,-9.639948153402113
61,1,-273.0371354759799,-800.3652642291661,9.557864072539484,-9.557864072539484
62,1,-263.7637988752315,-800.3652642291661,9.470703048125364,-9.470703048125364
63,1,-254.49046227448298,-800.3652642291661,9.383454490201732,-9.383454490201732
64,1,-245.21712567373459,-800.3652642291661,9.296205932278102,-9.296205932278102
65,1,-235.9437890729862,-800.3652642291661,9.205603878706784,-9.205603878706784
66,1,-226.6704524722378,-800.3652642291661,9.114757934542904,-9.114757934542904
67,1,-217.3971158714894,-800.3652642291661,9.023911990379025,-9.023911990379025
68,1,-208.123779270741,-800.3652642291661,8.930483032007755,-8.930483032007755
69,1,-198.8504426699925,-800.3652642291661,8.836706360185493,-8.836706360185493
70,1,-189.5771060692441,-800.3652642291661,8.742929688363228,-8.742929688363228
71,1,-180.30376946849572,-800.3652642291661,8.64680220319974,-8.64680220319974
72,1,-171.03043286774732,-800.3652642291661,8.550194960211513,-8.550194960211513
73,1,-161.75709626699881,-800.3652642291661,8.453587717223286,-8.453587717223286
74,1,-152.48375966625042,-800.3652642291661,8.354592867238466,-8.354592867238466
75,1,-143.21042306550203,-800.3652642291661,8.25492325875461,-8.25492325875461
76,1,-133.93708646475363,-800.3652642291661,8.155253650270756,-8.155253650270756
77,1,-124.66374986400513,-800.3652642291661,8.053093904585742,-8.053093904585742
78,1,-115.39041326325673,-800.3652642291661,7.950007596221229,-7.950007596221229
79,1,-106.11707666250834,-800.3652642291661,7.846921287856716,-7.846921287856716
80,1,-96.84374006176006,-800.3652642291661,7.7413646875706394,-7.7413646875706394
81,1,-87.57040346101155,-800.3652642291661,7.634634698621813,-7.634634698621813
82,1,-78.29706686026304,-800.3652642291661,7.52790470967299,-7.52790470967299
83,1,-69.02373025951476,-800.3652642291661,7.419022577318932,-7.419022577318932
84,1,-59.75039365876626,-800.3652642291661,7.308860792129328,-7.308860792129328
85,1,-50.47705705801786,-800.3652642291661,7.198699006939722,-7.198699006939722
86,1,-41.203720457269355,-800.3652642291661,7.087084113073477,-7.087084113073477
87,1,-31.930383856521075,-800.3652642291661,6.974400756944998,-6.974400756944998
88,1,-22.657047255772568,-800.3652642291661,6.861717400816515,-6.861717400816515
89,1,-13.383710655024288,-800.3652642291661,6.748478201787961,-6.748478201787961
90,1,-4.1103740542757805,-800.3652642291661,6.634736951107725,-6.634736951107725
91,1,5.162962546472613,-800.3652642291661,6.520995700427489,-6.520995700427489
92,1,14.43629914722112,-800.3652642291661,6.407222506768624,-6.407222506768624
93,1,23.7096357479694,-800.3652642291661,6.293413947669137,-6.293413947669137
94,1,32.98297234871791,-800.3652642291661,6.179605388569648,-6.179605388569648
95,1,42.25630894946619,-800.3652642291661,6.065197456806851,-6.065197456806851
96,1,51.529645550214696,-800.3652642291661,5.949974378221951,-5.949974378221951
97,1,60.8029821509632,-800.3652642291661,5.834751299637051,-5.834751299637051
98,1,70.0763187517116,-800.3652642291661,5.717186421083282,-5.717186421083282
99,1,79.34965535245999,-800.3652642291661,5.595683060763687,-5.595683060763687
100,1,88.62299195320838,-800.3652642291661,5.47417970044409,-5.47417970044409
101,1,97.89632855395689,-800.3652642291661,5.348725536820858,-5.348725536820858
102,1,107.16966515470517,-800.3652642291661,5.214953892558397,-5.214953892558397
103,1,116.44300175545368,-800.3652642291661,5.081182248295934,-5.081182248295934
104,1,125.71633835620196,-800.3652642291661,4.944160214289009,-4.944160214289009
105,1,134.98967495695047,-800.3652642291661,4.798402757843831,-4.798402757843831
106,1,144.26301155769886,-800.3652642291661,4.652645301398654,-4.652645301398654
107,1,153.53634815844737,-800.3652642291661,4.507425363338515,-4.507425363338515
108,1,162.80968475919565,-800.3652642291661,4.3641074134100535,-4.3641074134100535
109,1,172.08302135994415,-800.3652642291661,4.220789463481589,-4.220789463481589
110,1,181.35635796069243,-800.3652642291661,4.082418318222978,-4.082418318222978
111,1,190.62969456144106,-800.3652642291661,3.9682865158466307,-3.9682865158466307
112,1,199.90303116218956,-800.3652642291661,3.854154713470285,-3.854154713470285
113,1,209.17636776293784,-800.3652642291661,3.7461494330599567,-3.7461494330599567
114,1,218.44970436368635,-800.3652642291661,3.6836554586828716,-3.6836554586828716
115,1,227.72304096443463,-800.3652642291661,3.621161484305788,-3.621161484305788
116,1,236.99637756518314,-800.3652642291661,3.5620777381477007,-3.5620777381477007
117,1,246.26971416593142,-800.3652642291661,3.5498846300008386,-3.5498846300008386
118,1,255.54305076667993,-800.3652642291661,3.5376915218539766,-3.5376915218539766
119,1,264.8163873674282,-800.3652642291661,3.5259035744834137,-3.5259035744834137
120,1,274.0897239681767,-800.3652642291661,3.537614952138271,-3.537614952138271
121,1,283.363060568925,-800.3652642291661,3.5493263297931277,-3.5493263297931277
122,1,292.6363971696735,-800.3652642291661,3.561037707447984,-3.561037707447984
123,1,301.909733770422,-800.3652642291661,3.566620426343789,-3.566620426343789
124,1,311.1830703711703,-800.3652642291661,3.57198810458138,-3.57198810458138
125,1,320.4564069719188,-800.3652642291661,3.577355782818972,-3.577355782818972
126,1,329.7297435726673,-800.3652642291661,3.56559004561081,-3.56559004561081
127,1,339.0030801734156,-800.3652642291661,3.5522378810465605,-3.5522378810465605
128,1,348.2764167741641,-800.3652642291661,3.53888571648231,-3.53888571648231
129,1,357.5497533749126,-800.3652642291661,3.5135045267161873,-3.5135045267161873
130,1,366.8230899756609,-800.3652642291661,3.486236431036046,-3.486236431036046
131,1,376.0964265764094,-800.3652642291661,3.4589683353559035,-3.4589683353559035
132,1,385.36976317715767,-800.3652642291661,3.4231351367326814,-3.4231351367326814
133,1,394.6430997779062,-800.3652642291661,3.385339102018336,-3.385339102018336
134,1,403.91643637865445,-800.3652642291661,3.3475430673039916,-3.3475430673039916
135,1,413.18977297940296,-800.3652642291661,3.295432056807335,-3.295432056807335
136,1,422.46310958015124,-800.3652642291661,3.238867498289517,-3.238867498289517
137,1,431.73644618089975,-800.3652642291661,3.182302939771698,-3.182302939771698
138,1,441.00978278164825,-800.3652642291661,3.1077667081198914,-3.1077667081198914
139,1,450.28311938239676,-800.3652642291661,3.0259562278186145,-3.0259562278186145
140,1,459.55645598314504,-800.3652642291661,2.9441457475173394,-2.9441457475173394
141,1,468.82979258389355,-800.3652642291661,2.8565871412834962,-2.8565871412834962
142,1,478.10312918464183,-800.3652642291661,2.7660807781611614,-2.7660807781611614
143,1,487.37646578539034,-800.3652642291661,2.6755744150388234,-2.6755744150388234
144,1,496.6498023861386,-800.3652642291661,2.604021516812881,-2.604021516812881
145,1,505.9231389868871,-800.3652642291661,2.5445777767151885,-2.5445777767151885
146,1,515.1964755876356,-800.3652642291661,2.4851340366174957,-2.4851340366174957
147,1,524.4698121883839,-800.3652642291661,2.4629221883532955,-2.4629221883532955
148,1,533.7431487891324,-800.3652642291661,2.470044557897302,-2.470044557897302
149,1,543.0164853898807,-800.3652642291661,2.477166927441308,-2.477166927441308
150,1,552.2898219906292,-800.3652642291661,2.519316605415801,-2.519316605415801
151,1,561.5631585913775,-800.3652642291661,2.5953260148730957,-2.5953260148730957
152,1,570.836495192126,-800.3652642291661,2.6713354243303926,-2.6713354243303926
